Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;PowerPlan;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Text;Mean;Error;StdDev;Median;Ratio;RatioSD;Gen 0;Gen 1;Gen 2;Allocated
RegexReplace;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;123456789;297.87 ns;7.0558 ns;19.785 ns;292.03 ns;1.00;0.00;0.0329;-;-;104 B
Safe;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;123456789;194.67 ns;3.9818 ns;8.399 ns;193.33 ns;0.65;0.06;0.0837;-;-;264 B
Unsafe;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;123456789;36.60 ns;0.8085 ns;1.395 ns;36.55 ns;0.12;0.01;0.0152;-;-;48 B
NoRegex;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;123456789;71.05 ns;1.5068 ns;3.808 ns;70.88 ns;0.24;0.02;0.0304;-;-;96 B
NoRegex_WithSpan;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;123456789;74.14 ns;1.5659 ns;2.195 ns;74.34 ns;0.24;0.02;0.0151;-;-;48 B
NoRegex_WithStringCreate;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;123456789;55.66 ns;1.1914 ns;1.746 ns;55.44 ns;0.18;0.01;0.0151;-;-;48 B
RegexReplace;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Only (...)a bla [22];"5,692.11 ns";113.7007 ns;227.072 ns;"5,631.33 ns";1.000;0.00;1.4801;-;-;4680 B
Safe;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Only (...)a bla [22];87.22 ns;1.8015 ns;2.212 ns;86.99 ns;0.015;0.00;0.0126;-;-;40 B
Unsafe;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Only (...)a bla [22];56.31 ns;1.1788 ns;1.728 ns;55.99 ns;0.010;0.00;-;-;-;-
NoRegex;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Only (...)a bla [22];118.14 ns;2.4351 ns;5.189 ns;117.59 ns;0.021;0.00;0.0074;-;-;24 B
NoRegex_WithSpan;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Only (...)a bla [22];135.02 ns;2.7847 ns;4.950 ns;134.93 ns;0.024;0.00;-;-;-;-
NoRegex_WithStringCreate;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Only (...)a bla [22];70.05 ns;1.4855 ns;1.525 ns;70.01 ns;0.012;0.00;-;-;-;-
RegexReplace;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Text (...)s 789 [28];"5,411.21 ns";109.6562 ns;268.989 ns;"5,392.42 ns";1.00;0.00;1.2970;-;-;4104 B
Safe;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Text (...)s 789 [28];245.43 ns;4.9125 ns;10.362 ns;244.47 ns;0.05;0.00;0.0834;-;-;264 B
Unsafe;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Text (...)s 789 [28];85.57 ns;1.7737 ns;2.368 ns;84.80 ns;0.02;0.00;0.0151;-;-;48 B
NoRegex;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Text (...)s 789 [28];165.60 ns;3.4731 ns;4.636 ns;164.52 ns;0.03;0.00;0.0303;-;-;96 B
NoRegex_WithSpan;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Text (...)s 789 [28];177.63 ns;3.7799 ns;7.461 ns;176.26 ns;0.03;0.00;0.0150;-;-;48 B
NoRegex_WithStringCreate;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;Text (...)s 789 [28];163.94 ns;3.2997 ns;5.513 ns;163.60 ns;0.03;0.00;0.0150;-;-;48 B
